Time(s),Linear(mm)
0,0.00144
0.01,0.00094
0.02,0.00116
0.03,0.00107
0.04,0.0011
0.05,0.00147
0.06,0.00086
0.07,0.001
0.08,0.00153
0.09,0.00118
0.1,0.00118
0.11,0.00112
0.12,0.00091
0.13,0.00158
0.14,0.00122
0.15,0.00079
0.16,0.00131
0.17,0.00113
0.18,0.00111
0.19,0.00133
0.2,0.00088
0.21,0.0013
0.22,0.00136
0.23,0.00101
0.24,0.00154
0.25,0.00131
0.26,0.00093
0.27,0.00133
0.28,0.00116
0.29,0.00126
0.3,0.00128
0.31,0.00074
0.32,0.0014
0.33,0.00149
0.34,0.0009
0.35,0.00118
0.36,0.00125
0.37,0.0012
0.38,0.00141
0.39,0.00096
0.4,0.00117
0.41,0.0015
0.42,0.00085
0.43,0.00114
0.44,0.00143
0.45,0.00104
0.46,0.00131
0.47,0.00101
0.48,0.00111
0.49,0.00151
0.5,0.00105
0.51,0.00106
0.52,0.00155
0.53,0.00104
0.54,0.00127
0.55,0.00138
0.56,0.00097
0.57,0.00144
0.58,0.00113
0.59,0.00093
0.6,0.00143
0.61,0.00109
0.62,0.00105
0.63,0.00139
0.64,0.00103
0.65,0.00136
0.66,0.0014
0.67,0.0008
0.68,0.00146
0.69,0.00142
0.7,0.00119
0.71,0.00127
0.72,0.00085
0.73,0.00119
0.74,0.00163
0.75,0.00106
0.76,0.0011
0.77,0.00129
0.78,0.001
0.79,0.00149
0.8,0.00124
0.81,0.00099
0.82,0.00139
0.83,0.001
0.84,0.00111
0.85,0.00145
0.86,0.00102
0.87,0.0012
0.88,0.00147
0.89,0.00118
0.9,0.00149
0.91,0.00116
0.92,0.00092
0.93,0.00162
0.94,0.00118
0.95,0.00101
0.96,0.00128
0.97,0.00105
0.98,0.00126
0.99,0.00122
1,0.00092
1.01,0.00159
1.02,0.0015
1.03,0.00102
1.04,0.00146
1.05,0.00108
1.06,0.00118
1.07,0.00145
1.08,0.00096
1.09,0.0013
1.1,0.0013
1.11,0.00082
1.12,0.00145
1.13,0.00155
1.14,0.00119
1.15,0.00139
1.16,0.00105
1.17,0.00134
1.18,0.00159
1.19,0.00081
1.2,0.00111
1.21,0.00142
1.22,0.00109
1.23,0.00129
1.24,0.00116
1.25,0.00114
1.26,0.00165
1.27,0.00112
1.28,0.00118
1.29,0.0017
1.3,0.00104
1.31,0.0011
1.32,0.00119
1.33,0.00109
1.34,0.00152
1.35,0.00119
1.36,0.00087
1.37,0.00146
1.38,0.00131
1.39,0.00128
1.4,0.00156
1.41,0.00108
1.42,0.00135
1.43,0.00127
1.44,0.00085
1.45,0.00141
1.46,0.00129
1.47,0.00103
1.48,0.00147
1.49,0.00119
1.5,0.00126
1.51,0.00155
1.52,0.00107
1.53,0.00151
1.54,0.00148
1.55,0.00089
1.56,0.00135
1.57,0.00126
1.58,0.00113
1.59,0.00133
1.6,0.0009
1.61,0.00132
1.62,0.0017
1.63,0.00113
1.64,0.00121
1.65,0.00139
1.66,0.00115
1.67,0.00159
1.68,0.00114
1.69,0.001
1.7,0.00142
1.71,0.00105
1.72,0.00118
1.73,0.00151
1.74,0.00112
1.75,0.00133
1.76,0.0013
1.77,0.00096
1.78,0.0016
1.79,0.0013
1.8,0.00094
1.81,0.00149
1.82,0.00107
1.83,0.00119
1.84,0.00136
1.85,0.00093
1.86,0.00133
1.87,0.00142
1.88,0.00103
1.89,0.00141
1.9,0.00125
1.91,0.00095
1.92,0.00139
1.93,0.00105
1.94,0.00133
1.95,0.00142
1.96,0.00079
1.97,0.00121
1.98,0.00137
1.99,0.00106
2,0.0013
2.01,0.00115
2.02,0.00112
2.03,0.0015
2.04,0.00082
2.05,0.00108
2.06,0.00155
2.07,0.00109
2.08,0.0012
2.09,0.00127
2.1,0.00106
2.11,0.00143
2.12,0.00113
2.13,0.00102
2.14,0.00156
2.15,0.00102
2.16,0.00103
2.17,0.00137
2.18,0.00106
2.19,0.0013
2.2,0.00114
2.21,0.001
2.22,0.00159
2.23,0.0012
2.24,0.00091
2.25,0.00137
2.26,0.00117
