Time (ms), Load Cell 1, Load Cell 2, Acc1 x (g), Acc1 y (g), Acc1 z (g), Gyr1 +x (g), Gyr1 +y (g), Gyr1 +z (g), Acc2 x (g), Acc2 y (g), Acc2 z (g), Gyr2 +x (g), Gyr2 +y (g), Gyr2 +z (g), Encoder (count)
0,-1,0,0.00001831,0.00097048,0.99911499,0.13168342,-0.02273556,-0.009613,-0.0003186,-0.00036013,0.99980962,0.01327519,-0.01052857,-0.0018311,0
17,-1,0,-0.00095825,0.00103152,1.00137329,0.13168342,-0.05325314,0.00564579,0.00071899,-0.00042117,1.00005376,0.00564579,0.01998901,-0.0018311,0
31,-1,3,0.00007934,0.00145876,0.99966431,0.13931282,0.00778202,0.01327519,0.00206177,-0.00090945,0.99883306,0.00564579,0.0352478,0.02105709,0
46,-2,3,-0.00028687,0.00060427,1.00180054,0.10879524,-0.00747677,-0.0019836,0.00065796,-0.00005496,1.00066411,0.02853398,-0.00289918,0.02868648,0
61,-2,3,-0.00028687,0.00005496,1.00143433,0.13168342,-0.01510617,-0.0019836,0.00047485,0.00037229,1.00060308,0.02853398,-0.00289918,0.01342769,0
76,-2,3,0.00038452,0.00011599,1.00064087,0.13168342,-0.01510617,0.00564579,0.00065796,0.00061643,1.0001148,0.01327519,-0.03341676,0.01342769,0
91,-2,3,-0.00053101,0.00005496,1.00064087,0.15457161,-0.05325314,-0.009613,-0.00007446,0.00067747,1.00054204,0.02090458,-0.03341676,0.04394527,0
106,-2,3,0.00026245,-0.00031126,0.99935913,0.15457161,-0.02273556,-0.01724239,0.0009021,0.00067747,1.00023687,0.01327519,-0.00289918,0.05157467,0
120,-2,3,0.00026245,-0.00092161,0.99899292,0.12405403,-0.00747677,-0.0019836,-0.0003186,0.00104368,1.00078619,0.02090458,-0.03341676,0.05157467,0
135,-4,9,0.00014038,-0.00116575,0.99819946,0.10879524,-0.02273556,0.00564579,-0.0001355,0.00165403,1.00090826,0.03616337,-0.00289918,0.01342769,0
150,-4,9,0.00111694,-0.00061643,0.9982605,0.10116585,0.00778202,0.01327519,-0.00025757,0.00208127,1.00054204,0.02090458,-0.04104615,-0.01708988,0
165,-4,9,0.00026245,-0.00018919,0.99893188,0.11642464,0.00015262,-0.0019836,-0.00111206,0.00110471,1.00060308,0.01327519,-0.04867554,0.03631588,0
180,-4,9,0.0008728,-0.00025022,0.99850464,0.10116585,0.00015262,-0.02487179,-0.00001343,0.00018919,1.00023687,0.00564579,0.01998901,0.02868648,0
194,-4,9,0.00056763,0.00023806,0.9994812,0.11642464,-0.03799435,-0.009613,-0.0013562,0.00049436,1.00151861,-0.0019836,-0.00289918,0.02868648,0
209,-4,9,0.00050659,0.0004822,0.99880981,0.11642464,-0.02273556,-0.009613,-0.00123413,0.00049436,1.00078619,0.03616337,0.01998901,0.02105709,0
224,-4,9,0.00111694,0.00078738,0.99819946,0.12405403,-0.02273556,0.00564579,-0.00050171,-0.00005496,0.99987066,0.02853398,0.01235961,0.01342769,0
239,-4,11,-0.0001648,0.00090945,0.99850464,0.14694221,-0.05325314,-0.01724239,-0.0001355,-0.00023806,0.99864995,0.01327519,0.01235961,-0.0018311,0
254,-4,11,0.00001831,0.00109255,0.99832153,0.11642464,-0.02273556,-0.0019836,0.00065796,0.00000608,0.99828374,0.03616337,0.0352478,0.01342769,0
269,-4,11,-0.00046997,0.00084841,0.99801636,0.11642464,-0.03036496,0.00564579,-0.0001355,0.00025022,0.99944341,0.04379277,0.01998901,0.02105709,0
283,-4,11,-0.00046997,0.00054324,0.99813843,0.13931282,-0.02273556,-0.0019836,0.00047485,0.00049436,0.99993169,0.02853398,0.00473022,0.02868648,0
298,-4,11,0.00050659,0.0002991,0.9994812,0.13168342,-0.02273556,0.01327519,0.00047485,0.00031126,1.00035894,0.04379277,-0.02578736,0.03631588,0
313,-4,11,-0.00004273,0.00036013,0.99832153,0.12405403,-0.04562375,0.01327519,0.00035278,0.00018919,1.00041997,0.01327519,-0.04104615,0.01342769,0
328,-3,11,0.00014038,0.0004822,0.99911499,0.13168342,0.00778202,-0.01724239,0.00175659,-0.0002991,0.99974859,-0.0019836,-0.01815797,-0.0018311,0
343,-3,14,0.00001831,-0.00037229,0.99990845,0.15457161,-0.06088253,-0.01724239,0.00016968,0.00031126,1.00035894,-0.009613,-0.04867554,-0.0018311,0
357,-3,14,0.00007934,-0.00031126,0.99972534,0.14694221,-0.03036496,-0.009613,-0.0001355,0.00092161,1.0001148,-0.01724239,-0.01052857,-0.00946049,0
372,-3,14,0.00130005,-0.00037229,1.00125122,0.162201,-0.01510617,0.00564579,-0.00007446,0.00067747,1.00048101,-0.01724239,-0.01815797,-0.00946049,0
387,-3,14,0.00081177,-0.0007385,1.00204468,0.14694221,-0.02273556,-0.0019836,-0.00098999,0.00043333,1.00066411,-0.0019836,-0.02578736,0.02105709,0
402,-3,14,0.00081177,-0.00116575,1.00241089,0.13931282,-0.02273556,-0.0019836,-0.0003186,0.00104368,1.00048101,0.04379277,0.0352478,0.0057983,0
417,-1,14,0.0008728,-0.00061643,1.00027466,0.13168342,-0.02273556,0.00564579,-0.00056274,0.00116575,1.0011524,0.05905155,0.00473022,0.0057983,0
431,-1,18,0.00020142,-0.00025022,0.99996948,0.10116585,-0.03036496,-0.009613,-0.0003186,0.00128782,1.00127447,0.00564579,-0.01052857,0.05157467,0
446,-1,18,0.00093384,-0.00037229,1.00033569,0.09353645,-0.01510617,-0.0019836,0.00071899,0.00128782,1.00041997,0.02090458,0.0276184,0.04394527,0
461,-1,18,0.00075073,-0.00031126,1.00027466,0.04776008,-0.03036496,0.01327519,-0.00007446,0.00061643,1.0001148,0.05905155,0.00473022,0.05157467,0
476,-1,18,0.00032349,0.00066531,1.00039673,0.04776008,-0.00747677,0.02853398,0.00059692,-0.00005496,0.99926031,0.07431035,0.05813598,0.05157467,0
491,-1,18,0.00001831,0.00084841,0.99893188,0.07064827,-0.01510617,0.02090458,-0.00001343,0.00037229,1.00048101,0.02090458,0.0276184,0.05920406,0
505,-1,18,-0.00028687,0.00042117,0.99911499,0.09353645,-0.05325314,0.01327519,-0.00007446,-0.0002991,0.99968755,0.02090458,-0.04104615,0.04394527,0
520,1,18,0.00050659,0.00090945,0.99966431,0.10116585,-0.00747677,0.00564579,0.00108521,-0.00023806,0.9988941,0.03616337,-0.01052857,0.03631588,0
535,1,20,0.00007934,0.00090945,0.9992981,0.08590706,-0.03799435,0.02853398,-0.00019653,-0.00054324,0.99974859,0.02853398,-0.04104615,0.04394527,0
550,1,20,0.00007934,0.00115359,0.99905396,0.07064827,-0.00747677,0.00564579,0.00053589,-0.00042117,0.99987066,0.01327519,-0.01052857,0.06683345,0
565,1,20,0.00044556,0.00042117,0.99954224,0.10116585,-0.00747677,0.01327519,-0.00025757,-0.00011599,1.00005376,0.01327519,-0.03341676,0.09735103,0
579,1,20,0.00020142,-0.00012815,1.00027466,0.10116585,-0.01510617,-0.0019836,0.00004761,0.00031126,1.00078619,0.00564579,-0.01815797,0.08209224,0
594,1,20,0.00130005,-0.00006711,0.99960327,0.07827766,0.00778202,0.01327519,0.00078003,0.00067747,1.0002979,-0.02487179,-0.01052857,0.08209224,0
609,2,20,0.00075073,0.0002991,1.00039673,0.10116585,-0.02273556,0.00564579,-0.00050171,0.00079954,1.00048101,-0.02487179,-0.04104615,0.07446285,0
624,2,20,0.00075073,-0.00012815,1.00088501,0.10116585,-0.01510617,0.00564579,0.00029175,0.00086057,1.00048101,-0.009613,-0.00289918,0.05157467,0
639,2,23,0.0008728,-0.00000608,1.00039673,0.10116585,0.00015262,-0.009613,-0.00007446,0.00086057,1.00066411,0.03616337,-0.00289918,0.03631588,0
653,2,23,0.0006897,0.00005496,0.99923706,0.10879524,-0.00747677,-0.0019836,-0.00037964,0.00079954,1.00023687,0.02853398,-0.02578736,0.03631588,0
668,2,23,0.00142212,-0.00043333,0.99917603,0.12405403,0.00015262,-0.009613,0.00035278,0.00043333,0.99974859,0.02090458,-0.01815797,0.02105709,0
683,2,23,0.00148315,-0.00000608,0.99996948,0.10116585,-0.01510617,-0.02487179,-0.00068481,0.00043333,1.00048101,0.02090458,-0.01052857,0.02105709,0
698,2,23,0.00093384,0.00023806,0.99942017,0.08590706,-0.03036496,-0.03250118,0.00035278,0.0005554,1.0001148,0.02853398,0.01998901,0.02868648,0
713,2,23,0.00075073,0.00036013,0.99899292,0.10879524,-0.03799435,-0.04013057,-0.0003186,0.0005554,1.0011524,0.02090458,0.00473022,0.04394527,0
728,2,23,0.00026245,0.0002991,0.99868774,0.12405403,-0.05325314,-0.01724239,-0.00098999,-0.00011599,1.0011524,0.02090458,0.00473022,0.02868648,0
742,2,26,-0.00010376,0.00090945,0.99813843,0.10116585,-0.02273556,-0.0019836,0.00029175,0.00025022,0.99968755,0.00564579,0.01998901,0.02868648,0
757,2,26,-0.00028687,0.00090945,0.99856567,0.10879524,-0.03799435,-0.0019836,0.00023071,0.00012815,0.99980962,-0.009613,-0.00289918,0.02105709,0
772,2,26,-0.00083618,0.00133669,0.99990845,0.10116585,-0.01510617,-0.02487179,0.00132935,0.00049436,0.99895513,0.02853398,0.00473022,0.04394527,0
787,2,26,-0.00065308,0.00145876,0.99917603,0.09353645,0.00778202,-0.01724239,0.00084106,0.00025022,0.99974859,0.02090458,0.01998901,0.02105709,0
802,2,26,-0.00108032,0.00084841,0.99996948,0.11642464,-0.02273556,-0.03250118,0.00071899,0.00018919,1.00017583,0.02853398,-0.00289918,0.04394527,0
816,2,26,-0.0003479,0.00078738,0.99923706,0.09353645,0.00015262,-0.03250118,0.00145142,0.00025022,0.99913824,-0.009613,0.01998901,0.08209224,0
831,2,26,0.00038452,0.00103152,0.99728394,0.09353645,0.00015262,-0.0019836,0.00065796,0.00043333,1.00041997,0.01327519,-0.00289918,0.11260982,0
846,2,30,0.00075073,0.0004822,0.9982605,0.10116585,0.00015262,0.00564579,0.00084106,0.00086057,1.00048101,0.01327519,0.00473022,0.11260982,0
861,2,30,0.00111694,0.00023806,0.99783325,0.08590706,0.00015262,0.00564579,0.00078003,0.00086057,1.00078619,0.01327519,-0.02578736,0.06683345,0
876,2,30,0.00001831,0.00023806,0.99923706,0.13168342,-0.02273556,-0.009613,-0.00050171,0.00098264,1.00072515,-0.009613,-0.07919312,0.07446285,0
891,-3,30,0.00105591,0.0002991,0.9982605,0.14694221,-0.00747677,-0.009613,0.00023071,0.00140989,1.00103033,-0.0019836,-0.00289918,0.05920406,0
905,-3,30,0.00154419,0.00005496,0.99880981,0.12405403,-0.03036496,-0.009613,-0.00019653,0.00171506,1.00121343,-0.0019836,-0.03341676,0.04394527,0
920,-3,30,0.00099487,0.00005496,1.0005188,0.10879524,-0.04562375,-0.0019836,-0.00001343,0.00122678,1.00084722,0.02090458,-0.00289918,0.05920406,0
935,-3,33,0.00130005,-0.00006711,0.99880981,0.09353645,-0.01510617,-0.01724239,-0.00074585,0.00049436,1.00066411,0.03616337,0.01235961,0.05157467,0
950,-3,33,0.00014038,0.00017703,0.99990845,0.08590706,-0.03799435,-0.009613,-0.00086792,0.00031126,1.0011524,0.05142216,-0.01052857,0.03631588,0
965,-3,33,0.00014038,0.00023806,0.99856567,0.10116585,-0.03799435,-0.0019836,0.00047485,0.00031126,0.99987066,0.02090458,-0.00289918,0.03631588,0
979,-3,33,0.0008728,0.00042117,0.99752808,0.08590706,-0.03799435,0.02090458,-0.00001343,0.00037229,0.99962652,0.04379277,-0.01815797,0.05157467,0
994,-9,33,0.0006897,0.00042117,0.99850464,0.09353645,-0.04562375,0.04379277,0.00035278,-0.00011599,0.9990772,0.02853398,0.0352478,0.04394527,0
1009,-9,33,0.0006897,0.00072634,0.99893188,0.11642464,-0.01510617,0.02090458,0.00078003,-0.00060427,0.99901617,0.02090458,0.01998901,0.05920406,0
1024,-9,33,0.00001831,0.00103152,0.99813843,0.12405403,-0.03799435,0.02853398,-0.00025757,-0.00054324,0.99944341,0.02090458,-0.03341676,0.04394527,0
1039,-9,36,-0.0001648,0.00121462,0.99765015,0.11642464,-0.00747677,0.01327519,0.00145142,-0.00060427,0.9980396,0.03616337,-0.00289918,0.02105709,0
1054,-9,36,0.00038452,0.00090945,0.99868774,0.13168342,-0.03036496,-0.01724239,0.00120728,-0.00072634,0.99895513,0.04379277,-0.03341676,0.02105709,0
